framework_a,framework_b,metric,diff,t_stat,p_value,boot_ci_low,boot_ci_high
automl_suite_flaml,H2O_AutoML,accuracy,0.000557051324265645,0.4461120585835844,0.6786003286999592,-0.0014127953606021038,0.002626272127522755
automl_suite_flaml,LightGBM,accuracy,-0.0008513788635943209,-2.4533575641450294,0.07019114401847465,-0.0015300141896477993,-0.0002584983651058065
automl_suite_flaml,leaderboard,accuracy,0.000557051324265645,0.4461120585835844,0.6786003286999592,-0.0014127953606021038,0.002626272127522755
XGBoost,H2O_AutoML,f1_macro,0.0010123033360479594,0.9560664750231599,0.393179372998854,-0.0007794616794550846,0.002901500928139078
XGBoost,H2O_AutoML,accuracy,0.0014145995999147454,1.0660017590969915,0.3464911018092442,-0.0007218212104386668,0.003909509834969227
XGBoost,LightGBM,f1_macro,-0.0001290643312088502,-0.4530600344639933,0.6739935668534484,-0.0006343575521259748,0.00033676067693172234
XGBoost,LightGBM,accuracy,6.1694120547794995e-06,0.024122662005063397,0.9819101964495278,-0.00043802825590730785,0.0004261521377011875
XGBoost,leaderboard,f1_macro,0.0010123033360479594,0.9560664750231599,0.393179372998854,-0.0007794616794550846,0.002901500928139078
XGBoost,leaderboard,accuracy,0.0014145995999147454,1.0660017590969915,0.3464911018092442,-0.0007218212104386668,0.003909509834969227
H2O_AutoML,LightGBM,f1_macro,-0.0011413676672568096,-0.9374467922928893,0.4016031061619939,-0.0032694226362048663,0.0008677574693031209
H2O_AutoML,LightGBM,accuracy,-0.0014084301878599659,-0.9504032770748713,0.39572542050680914,-0.004156286317170554,0.0009254118082546059
H2O_AutoML,leaderboard,f1_macro,0.0,,,0.0,0.0
H2O_AutoML,leaderboard,accuracy,0.0,,,0.0,0.0
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,accuracy,-0.0002313529520635571,-0.5749138226181058,0.5794355372602682,-0.0009594978098587012,0.0005154543771978784
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,fit_time_sec,0.039838491399132536,0.35302339252746245,0.7321980782438557,-0.15980056960266667,0.2573566787242452
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,predict_time_sec,-0.034511124997516185,-3.497346361548507,0.00675164188710734,-0.053815295884924126,-0.017225386649552095
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,accuracy,-2.776235424750695e-05,-0.19261652249768876,0.851535602327212,-0.0003085477204022852,0.0002468535998520146
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,fit_time_sec,-2.753865358301846,-31.213228841956457,1.7437513680173336e-10,-2.9080902332576803,-2.5721893190423
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.06900876250001604,7.3814673894348095,4.1848791263578324e-05,0.05140288507762308,0.0867938388559196
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,accuracy,0.00020359059781605016,0.4461859245915987,0.6660043839828477,-0.0005552470849528368,0.001098232463446268
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,fit_time_sec,-2.7937038497009787,-38.01182095805213,2.99619534624272e-11,-2.9372136880656763,-2.6567681779502528
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.10351988749753223,11.047448180225553,1.552529048015848e-06,0.08541222340812968,0.11845748626456043
LightGBM,leaderboard,f1_macro,0.0011413676672568096,0.9374467922928893,0.4016031061619939,-0.0008677574693031209,0.0032694226362048663
LightGBM,leaderboard,accuracy,0.0014084301878599659,0.9504032770748713,0.39572542050680914,-0.0009254118082546059,0.004156286317170554
